source_row,domain,site_id,list_url,careers_url,status_code,job_links_found,sample_job_url,sample_title,error,elapsed_seconds
625,bastiontechnologies.applicantpro.com,3360,https://bastiontechnologies.applicantpro.com/core/jobs/3360?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://bastiontechnologies.applicantpro.com/jobs/,200,40,https://bastiontechnologies.applicantpro.com/jobs/4100145,"Component Engineer, SME (BT-26115)",,0.55
627,batteriesplus.applicantpro.com,16440,https://batteriesplus.applicantpro.com/core/jobs/16440?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://batteriesplus.applicantpro.com/jobs/,200,109,https://batteriesplus.applicantpro.com/jobs/4150664,Accounts Payable Manager,,1.21
643,bcbforlife.applicantpro.com,35,https://bcbforlife.applicantpro.com/core/jobs/35?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://bcbforlife.applicantpro.com/jobs/,200,6,https://bcbforlife.applicantpro.com/jobs/4151185,Relationship Specialist,,0.62
656,bcisse.applicantpro.com,939,https://bcisse.applicantpro.com/core/jobs/939?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://bcisse.applicantpro.com/jobs/,200,7,https://bcisse.applicantpro.com/jobs/4164658,Human Factors Engineer (Anthro),,0.57
658,bcmud.applicantpro.com,15341,https://bcmud.applicantpro.com/core/jobs/15341?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://bcmud.applicantpro.com/jobs/,200,7,https://bcmud.applicantpro.com/jobs/4132166,Camp Counselor (After School),,0.70
661,beachestanningcenter.applicantpro.com,9135,https://beachestanningcenter.applicantpro.com/core/jobs/9135?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://beachestanningcenter.applicantpro.com/jobs/,200,17,https://beachestanningcenter.applicantpro.com/jobs/4147611,Assistant Store Manager - Saratoga Springs,,0.67
669,bedrosians.applicantpro.com,4045,https://bedrosians.applicantpro.com/core/jobs/4045?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://bedrosians.applicantpro.com/jobs/,200,56,https://bedrosians.applicantpro.com/jobs/4128084,Accounts Receivable Clerk,,0.71
691,beneschlaw.applicantpro.com,10450,https://beneschlaw.applicantpro.com/core/jobs/10450?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://beneschlaw.applicantpro.com/jobs/,200,37,https://beneschlaw.applicantpro.com/jobs/4051173,Accounting Intake Specialist,,0.62
714,bhico.applicantpro.com,1041,https://bhico.applicantpro.com/core/jobs/1041?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://bhico.applicantpro.com/jobs/,200,70,https://bhico.applicantpro.com/jobs/4150983,Asphalt & Paving Roller Operator,,0.67
715,bhinc.applicantpro.com,1282,https://bhinc.applicantpro.com/core/jobs/1282?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://bhinc.applicantpro.com/jobs/,200,18,https://bhinc.applicantpro.com/jobs/4135702,Accounting Clerk (ACCTCP),,0.54
764,blecorp.applicantpro.com,10449,https://blecorp.applicantpro.com/core/jobs/10449?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://blecorp.applicantpro.com/jobs/,200,21,https://blecorp.applicantpro.com/jobs/4104042,GVL County High-School Work-Based Learning Program | Part-Time Gotechnical Soils and Concrte Laboratory Technician,,0.57
805,bonejoint.applicantpro.com,2342,https://bonejoint.applicantpro.com/core/jobs/2342?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://bonejoint.applicantpro.com/jobs/,200,16,https://bonejoint.applicantpro.com/jobs/4158203,HIM Records Requestor Specialist,,0.67
853,broadbentinc.applicantpro.com,12087,https://broadbentinc.applicantpro.com/core/jobs/12087?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://broadbentinc.applicantpro.com/jobs/,200,5,https://broadbentinc.applicantpro.com/jobs/4151514,ARCHAEOLOGY FIELD TECHNICIANS,,0.71
859,brooks1st.applicantpro.com,10256,https://brooks1st.applicantpro.com/core/jobs/10256?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://brooks1st.applicantpro.com/jobs/,200,3,https://brooks1st.applicantpro.com/jobs/3974247,Construction Laborers,,0.61
868,bshcinfo.applicantpro.com,5347,https://bshcinfo.applicantpro.com/core/jobs/5347?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://bshcinfo.applicantpro.com/jobs/,200,7,https://bshcinfo.applicantpro.com/jobs/3911398,Per Diem AFC Registered Nurse,,0.58
870,bsnb.applicantpro.com,3253,https://bsnb.applicantpro.com/core/jobs/3253?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://bsnb.applicantpro.com/jobs/,200,12,https://bsnb.applicantpro.com/jobs/4163343,Credit Analyst,,0.65
913,cadre.applicantpro.com,16057,https://cadre.applicantpro.com/core/jobs/16057?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://cadre.applicantpro.com/jobs/,200,19,https://cadre.applicantpro.com/jobs/4151841,Accountant - Active Security Clearance,,0.62
943,caosmd.applicantpro.com,6847,https://caosmd.applicantpro.com/core/jobs/6847?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://caosmd.applicantpro.com/jobs/,200,13,https://caosmd.applicantpro.com/jobs/4165167,Executive Assistant,,0.48
960,careadvantagecorporaterecruiting.applicantpro.com,9846,https://careadvantagecorporaterecruiting.applicantpro.com/core/jobs/9846?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://careadvantagecorporaterecruiting.applicantpro.com/jobs/,200,25,https://careadvantagecorporaterecruiting.applicantpro.com/jobs/4145127,Accounts Receivable & Collections Specialist - Home Care,,0.63
2120,carnow.applicantpro.com,19444,https://carnow.applicantpro.com/core/jobs/19444?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://carnow.applicantpro.com/jobs/,200,23,https://carnow.applicantpro.com/jobs/4111889,Account Manager,,0.64
2131,carthage.applicantpro.com,4944,https://carthage.applicantpro.com/core/jobs/4944?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://carthage.applicantpro.com/jobs/,200,19,https://carthage.applicantpro.com/jobs/4088153,"Adjunct Assistant Professor, Art and Design",,0.65
2139,castlebiosciences.applicantpro.com,11474,https://castlebiosciences.applicantpro.com/core/jobs/11474?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://castlebiosciences.applicantpro.com/jobs/,200,11,https://castlebiosciences.applicantpro.com/jobs/4057633,R&amp;D Data Analyst,,0.61
2147,cavinessbeef.applicantpro.com,14230,https://cavinessbeef.applicantpro.com/core/jobs/14230?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://cavinessbeef.applicantpro.com/jobs/,200,14,https://cavinessbeef.applicantpro.com/jobs/4056373,CDL Driver - Amarillo Ground Beef,,0.50
2149,cayugahealthsystem.applicantpro.com,17888,https://cayugahealthsystem.applicantpro.com/core/jobs/17888?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://cayugahealthsystem.applicantpro.com/jobs/,200,300,https://cayugahealthsystem.applicantpro.com/jobs/4119105,Accountant,,0.80
2261,christensenfarms.applicantpro.com,2555,https://christensenfarms.applicantpro.com/core/jobs/2555?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://christensenfarms.applicantpro.com/jobs/,200,55,https://christensenfarms.applicantpro.com/jobs/4002948,"Animal Care Technician - Atkinson, NE",,0.61
