source_row,domain,json_url,status_code,job_links_found,sample_job_url,sample_title,error,elapsed_seconds
4121,in-loco.breezy.hr,https://in-loco.breezy.hr/json,200,1,https://in-loco.breezy.hr/p/3c536a9f76a2-senior-security-engineer,Senior Security Engineer,,0.12
4136,infinit-us.breezy.hr,https://infinit-us.breezy.hr/json,200,2,https://infinit-us.breezy.hr/p/d3dfad625e2c-senior-systems-network-engineer-msp,Senior Systems & Network Engineer - MSP,,0.12
4182,intecon-llc.breezy.hr,https://intecon-llc.breezy.hr/json,200,21,https://intecon-llc.breezy.hr/p/ca7aafd45bfb-journeyman-data-analyst,Journeyman Data Analyst,,0.15
4249,ishir.breezy.hr,https://ishir.breezy.hr/json,200,16,https://ishir.breezy.hr/p/69cfae5ac7d2-net-fullstack-developer-fairfield-california,.Net Fullstack Developer_Fairfield(California),,0.14
4252,islide.breezy.hr,https://islide.breezy.hr/json,200,2,https://islide.breezy.hr/p/f8291cf6b4c6-fall-2026-marketing-design-intern,Fall 2026 Marketing Design Intern,,0.12
4314,jnd-inc.breezy.hr,https://jnd-inc.breezy.hr/json,200,37,https://jnd-inc.breezy.hr/p/a20b16198439-executive-admin-assistant-17364-3,Executive Admin Assistant (17364-3),,0.15
4796,katapult.breezy.hr,https://katapult.breezy.hr/json,200,17,https://katapult.breezy.hr/p/8b248103e54d-account-coordinator-entry-level,Account Coordinator (Entry-Level),,0.15
4820,kenect.breezy.hr,https://kenect.breezy.hr/json,200,7,https://kenect.breezy.hr/p/af1eada388d4-account-executive,Account Executive,,0.13
4879,kreative-technologies-llc.breezy.hr,https://kreative-technologies-llc.breezy.hr/json,200,2,https://kreative-technologies-llc.breezy.hr/p/3a31ffa0ab07-application-developer,Application Developer,,0.12
5007,logan-a-c-heat-services-b29ac6f9712d.breezy.hr,https://logan-a-c-heat-services-b29ac6f9712d.breezy.hr/json,200,50,https://logan-a-c-heat-services-b29ac6f9712d.breezy.hr/p/fc75e0115615-accounting-operations-specialist,Accounting Operations Specialist,,0.16
5019,lovevery.breezy.hr,https://lovevery.breezy.hr/json,200,4,https://lovevery.breezy.hr/p/29162cb4415b-associate-customer-experience,"Associate, Customer Experience",,0.12
5032,lufco.breezy.hr,https://lufco.breezy.hr/json,200,19,https://lufco.breezy.hr/p/63c2c7bca86a-cyber-security-engineer,Cyber Security Engineer,,0.16
5041,lumio-dental-practice-locations.breezy.hr,https://lumio-dental-practice-locations.breezy.hr/json,200,70,https://lumio-dental-practice-locations.breezy.hr/p/971feed6fc85-accounts-payable-staff-accountant,Accounts Payable Staff Accountant,,0.18
5085,maleda-tech.breezy.hr,https://maleda-tech.breezy.hr/json,200,3,https://maleda-tech.breezy.hr/p/aaa8f8eea3dc-experiences-business-operations-manager,Experiences Business Operations Manager,,0.11
5102,marex.breezy.hr,https://marex.breezy.hr/json,200,85,https://marex.breezy.hr/p/6158031b228c01-ai-transformation-lead-compliance-vn2586,AI Transformation Lead - Compliance (VN2586),,0.18
5109,marketview-education-technology.breezy.hr,https://marketview-education-technology.breezy.hr/json,200,3,https://marketview-education-technology.breezy.hr/p/e9f48613dcfc-content-marketing-manager,Content Marketing Manager,,0.12
5135,masterworks.breezy.hr,https://masterworks.breezy.hr/json,200,8,https://masterworks.breezy.hr/p/b6ec9dee07ed-business-director-level-co,"Business Director, Level & Co.",,0.14
5140,matrix-design-group.breezy.hr,https://matrix-design-group.breezy.hr/json,200,14,https://matrix-design-group.breezy.hr/p/4238478db726-assembly-technician,Assembly Technician,,0.18
5141,matroid.breezy.hr,https://matroid.breezy.hr/json,200,9,https://matroid.breezy.hr/p/764f8a9923e3-deep-learning-engineer,Deep Learning Engineer,,0.15
5221,metrum-research-group.breezy.hr,https://metrum-research-group.breezy.hr/json,200,2,https://metrum-research-group.breezy.hr/p/9d848368d960-associate-product-owner,Associate Product Owner,,0.13
5254,mind-computing.breezy.hr,https://mind-computing.breezy.hr/json,200,10,https://mind-computing.breezy.hr/p/5be6691ac2fd-aws-cloud-engineer-remote-opportunity,AWS Cloud Engineer (Remote Opportunity),,0.14
5319,moser-consulting.breezy.hr,https://moser-consulting.breezy.hr/json,200,8,https://moser-consulting.breezy.hr/p/9dc6dbd3a78f-business-development-representative-new-client-aquisition,Business Development Representative - New Client Aquisition,,0.12
5421,nationsbenefits.breezy.hr,https://nationsbenefits.breezy.hr/json,200,211,https://nationsbenefits.breezy.hr/p/94b225808238-net-full-stack-developer,.Net Full stack Developer,,0.21
5428,navaide.breezy.hr,https://navaide.breezy.hr/json,200,28,https://navaide.breezy.hr/p/1ea9e8528d91-ai-data-analytics-developer-must-be-government-clearance-eligible,AI & Data Analytics Developer - Must be government clearance eligible,,0.17
5476,netrix-global.breezy.hr,https://netrix-global.breezy.hr/json,200,28,https://netrix-global.breezy.hr/p/149137412ebc-ai-machine-learning-engineer-aws-cloud,AI & Machine Learning Engineer (AWS Cloud),,0.14
5477,netsea-technologies.breezy.hr,https://netsea-technologies.breezy.hr/json,200,12,https://netsea-technologies.breezy.hr/p/f87255945ea1-ns-cloud-network-architect-senior-tactical-hybrid-cloud-zero-trust,"NS-Cloud Network Architect, Senior (Tactical / Hybrid Cloud / Zero Trust)",,0.13
5478,netsync-network-solutions.breezy.hr,https://netsync-network-solutions.breezy.hr/json,200,24,https://netsync-network-solutions.breezy.hr/p/253976e54c56-computer-technician,Computer Technician,,0.16
5517,ninjaholdings.breezy.hr,https://ninjaholdings.breezy.hr/json,200,10,https://ninjaholdings.breezy.hr/p/f859b6fcc3e1-customer-service-specialist,Customer Service Specialist,,0.14
5549,norman-international-inc.breezy.hr,https://norman-international-inc.breezy.hr/json,200,7,https://norman-international-inc.breezy.hr/p/c1c50f36fb4e-assistant-warehouse-manager-orlando-florida--bilingual-english-spanish,"Assistant Warehouse Manager - Orlando, Florida - Bilingual English / Spanish",,0.12
