"state","city_key","city"
"AK","mendeltna","Mendeltna"
"AK","mentasta lake","Mentasta Lake"
"AK","mertarvik","Mertarvik"
"AK","metlakatla","Metlakatla"
"AK","mill bay","Mill Bay"
"AK","minto","Minto"
"AK","moose creek","Moose Creek"
"AK","moose pass","Moose Pass"
"AK","mosquito lake","Mosquito Lake"
"AK","mountain village","Mountain Village"
"AK","mud bay","Mud Bay"
"AK","nabesna","Nabesna"
"AK","naknek","Naknek"
"AK","nanwalek","Nanwalek"
"AK","napakiak","Napakiak"
"AK","napaskiak","Napaskiak"
"AK","naukati bay","Naukati Bay"
"AK","nelchina","Nelchina"
"AK","nelson lagoon","Nelson Lagoon"
"AK","nenana","Nenana"
"AK","new stuyahok","New Stuyahok"
"AK","newhalen","Newhalen"
"AK","newtok","Newtok"
"AK","nightmute","Nightmute"
"AK","nikiski","Nikiski"
"AK","nikolaevsk","Nikolaevsk"
"AK","nikolai","Nikolai"
"AK","nikolski","Nikolski"
"AK","ninilchik","Ninilchik"
"AK","noatak","Noatak"
"AK","nome","Nome"
"AK","nondalton","Nondalton"
"AK","noorvik","Noorvik"
"AK","north lakes","North Lakes"
"AK","north pole","North Pole"
"AK","northway","Northway"
"AK","nuiqsut","Nuiqsut"
"AK","nulato","Nulato"
"AK","nunam iqua","Nunam Iqua"
"AK","nunapitchuk","Nunapitchuk"
"AK","old harbor","Old Harbor"
"AK","oscarville","Oscarville"
"AK","ouzinkie","Ouzinkie"
"AK","palmer","Palmer"
"AK","paxson","Paxson"
"AK","pedro bay","Pedro Bay"
"AK","pelican","Pelican"
"AK","perryville","Perryville"
"AK","petersburg","Petersburg"
"AK","petersville","Petersville"
"AK","pilot point","Pilot Point"
"AK","pilot station","Pilot Station"
"AK","pitkas point","Pitkas Point"
"AK","platinum","Platinum"
"AK","pleasant valley","Pleasant Valley"
"AK","point baker","Point Baker"
"AK","point hope","Point Hope"
"AK","point lay","Point Lay"
"AK","point mackenzie","Point MacKenzie"
"AK","point possession","Point Possession"
"AK","pope-vannoy landing","Pope-Vannoy Landing"
"AK","port alexander","Port Alexander"
"AK","port alsworth","Port Alsworth"
"AK","port clarence","Port Clarence"
"AK","port graham","Port Graham"
"AK","port heiden","Port Heiden"
"AK","port lions","Port Lions"
"AK","port protection","Port Protection"
"AK","portage creek","Portage Creek"
"AK","primrose","Primrose"
"AK","prudhoe bay","Prudhoe Bay"
"AK","quinhagak","Quinhagak"
"AK","rampart","Rampart"
"AK","red devil","Red Devil"
"AK","red dog mine","Red Dog Mine"
"AK","ridgeway","Ridgeway"
"AK","ruby","Ruby"
"AK","russian mission","Russian Mission"
"AK","salamatof","Salamatof"
"AK","salcha","Salcha"
"AK","sand point","Sand Point"
"AK","savoonga","Savoonga"
"AK","saxman","Saxman"
"AK","scammon bay","Scammon Bay"
"AK","selawik","Selawik"
"AK","seldovia","Seldovia"
"AK","seldovia village","Seldovia Village"
"AK","seward","Seward"
"AK","shageluk","Shageluk"
"AK","shaktoolik","Shaktoolik"
"AK","shishmaref","Shishmaref"
"AK","shungnak","Shungnak"
"AK","silver springs","Silver Springs"
"AK","sitka","Sitka"
"AK","skagway","Skagway"
"AK","skwentna","Skwentna"
"AK","slana","Slana"
"AK","sleetmute","Sleetmute"
"AK","soldotna","Soldotna"
"AK","south lakes","South Lakes"
"AK","south naknek","South Naknek"
"AK","south van horn","South Van Horn"
"AK","st. george","St. George"
"AK","st. mary's","St. Mary's"
"AK","st. michael","St. Michael"
"AK","st. paul","St. Paul"
"AK","stebbins","Stebbins"
"AK","steele creek","Steele Creek"
"AK","sterling","Sterling"
"AK","stevens village","Stevens Village"
"AK","stony river","Stony River"
"AK","sunrise","Sunrise"
"AK","susitna","Susitna"
"AK","susitna north","Susitna North"
"AK","sutton-alpine","Sutton-Alpine"
"AK","takotna","Takotna"
"AK","talkeetna","Talkeetna"
"AK","tanacross","Tanacross"
"AK","tanaina","Tanaina"
"AK","tanana","Tanana"
"AK","tatitlek","Tatitlek"
"AK","tazlina","Tazlina"
"AK","teller","Teller"
"AK","tenakee springs","Tenakee Springs"
"AK","tetlin","Tetlin"
"AK","thorne bay","Thorne Bay"
"AK","togiak","Togiak"
"AK","tok","Tok"
"AK","toksook bay","Toksook Bay"
"AK","tolsona","Tolsona"
"AK","tonsina","Tonsina"
"AK","trapper creek","Trapper Creek"
"AK","tuluksak","Tuluksak"
"AK","tuntutuliak","Tuntutuliak"
"AK","tununak","Tununak"
"AK","twin hills","Twin Hills"
"AK","two rivers","Two Rivers"
"AK","tyonek","Tyonek"
"AK","ugashik","Ugashik"
"AK","unalakleet","Unalakleet"
"AK","unalaska","Unalaska"
"AK","upper kalskag","Upper Kalskag"
"AK","utqiagì‡vik","UtqiagÌ‡vik"
"AK","valdez","Valdez"
"AK","venetie","Venetie"
"AK","wainwright","Wainwright"
"AK","wales","Wales"
"AK","wasilla","Wasilla"
"AK","whale pass","Whale Pass"
"AK","white mountain","White Mountain"
"AK","whitestone","Whitestone"
"AK","whitestone logging camp","Whitestone Logging Camp"
"AK","whittier","Whittier"
"AK","willow","Willow"
"AK","willow creek","Willow Creek"
"AK","wiseman","Wiseman"
"AK","womens bay","Womens Bay"
"AK","wrangell","Wrangell"
"AK","yakutat","Yakutat"
"AL","abanda","Abanda"
"AL","abbeville","Abbeville"
"AL","adamsville","Adamsville"
"AL","addison","Addison"
"AL","akron","Akron"
"AL","alabaster","Alabaster"
"AL","albertville","Albertville"
"AL","alexander city","Alexander City"
"AL","alexandria","Alexandria"
"AL","aliceville","Aliceville"
"AL","allgood","Allgood"
"AL","altoona","Altoona"
"AL","andalusia","Andalusia"
"AL","anderson","Anderson"
"AL","anniston","Anniston"
"AL","arab","Arab"
"AL","ardmore","Ardmore"
"AL","argo","Argo"
"AL","ariton","Ariton"
"AL","arley","Arley"
"AL","ashford","Ashford"
"AL","ashland","Ashland"
"AL","ashville","Ashville"
"AL","athens","Athens"
"AL","atmore","Atmore"
"AL","attalla","Attalla"
"AL","auburn","Auburn"
"AL","autaugaville","Autaugaville"
"AL","avon","Avon"
"AL","axis","Axis"
"AL","babbie","Babbie"
"AL","baileyton","Baileyton"
"AL","bakerhill","Bakerhill"
"AL","ballplay","Ballplay"
"AL","banks","Banks"
"AL","bay minette","Bay Minette"
"AL","bayou la batre","Bayou La Batre"
"AL","bear creek","Bear Creek"
"AL","beatrice","Beatrice"
"AL","beaverton","Beaverton"
"AL","belgreen","Belgreen"
"AL","belk","Belk"
