source_row,domain,site,api_url,careers_url,status_code,validated,total_jobs,sample_job_id,sample_title,sample_company,sample_job_url,error,elapsed_seconds
3841,hcps.fa.us2.oraclecloud.com,CX_1,"https://hcps.fa.us2.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_1,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://hcps.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,200,True,56,442,Husbandry Technician - Animal Care,Creighton University,https://hcps.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/442,,2.03
3843,hcqq.fa.us2.oraclecloud.com,CX_5004,"https://hcqq.fa.us2.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_5004,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://hcqq.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_5004,200,True,571,41138,Prep Cook,Restoration Hardware Enterprise,https://hcqq.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_5004/job/41138,,2.30
3846,hcsb.fa.us2.oraclecloud.com,CX_1,"https://hcsb.fa.us2.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_1,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://hcsb.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,200,True,67,2209551,Parts Room Tech I,Setup Enterprise,https://hcsb.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2209551,,1.48
3849,hctq.fa.us2.oraclecloud.com,CX_1,"https://hctq.fa.us2.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_1,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://hctq.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,200,True,29,376,Foreign Patent Prosecution Paralegal,Cozen O'Connor Corporation,https://hctq.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/376,,1.91
3850,hctz.fa.us2.oraclecloud.com,CX_1001,"https://hctz.fa.us2.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_1001,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://hctz.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001,200,True,668,2505933,Směnový technolog,"151 Semiconductor Components Industries, LLC",https://hctz.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/2505933,,1.84
3851,hcug.fa.us2.oraclecloud.com,CX_2001,"https://hcug.fa.us2.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_2001,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://hcug.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001,200,True,87,2004898,"Supervisor, Production Operations","Albany Molecular Research, Inc.",https://hcug.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/2004898,,1.74
3852,hcut.fa.ap2.oraclecloud.com,CX_1,"https://hcut.fa.ap2.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_1,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://hcut.fa.ap2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,200,True,100,4501,"Specialist, Program Management",APL Logistics Ltd,https://hcut.fa.ap2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/4501,,3.85
3853,hcwp.fa.us2.oraclecloud.com,CX_1,"https://hcwp.fa.us2.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_1,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://hcwp.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,200,True,253,2013977,Senior Crystal Growth Engineer,Coherent Corp.,https://hcwp.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2013977,,2.12
3854,hcwt.fa.us2.oraclecloud.com,CX,"https://hcwt.fa.us2.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://hcwt.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX,200,True,83,25038,Payroll Systems Senior Program Manager,DIAM,https://hcwt.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/25038,,1.24
3855,hcwx.fa.us2.oraclecloud.com,CX_3001,"https://hcwx.fa.us2.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_3001,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://hcwx.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_3001,200,True,567,14551,Construction Manager,WTI Division,https://hcwx.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_3001/job/14551,,1.73
3856,hcxs.fa.us2.oraclecloud.com,CX_1,"https://hcxs.fa.us2.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_1,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://hcxs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,200,True,355,21014026,"Business Intelligence Analyst I, Technology",Kroll,https://hcxs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/21014026,,1.66
3857,hczw.fa.us2.oraclecloud.com,CX_1001,"https://hczw.fa.us2.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_1001,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://hczw.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001,200,True,188,15578,Senior Transaction Manager (Legal),CLS - 01,https://hczw.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/15578,,1.84
3858,hdat.fa.us2.oraclecloud.com,CX,"https://hdat.fa.us2.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://hdat.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX,200,True,102,12082,Cargo Handler I,Final Mile,https://hdat.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/12082,,1.50
3859,hdbt.fa.us2.oraclecloud.com,CX_1,"https://hdbt.fa.us2.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_1,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://hdbt.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,200,True,228,16666,Airside Experience Specialist,"Signature Aviation USA, LLC",https://hdbt.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/16666,,1.81
