source_row,domain,portal_id,careers_url,status_code,job_links_found,sample_job_url,sample_title,error,elapsed_seconds
3989,hrpks.catsone.com,10387,https://hrpks.catsone.com/careers/10387,200,32,https://hrpks.catsone.com/careers/10387/jobs/16839703-Quality-Director-Adult-Services,,,0.24
3990,hrpwfs.catsone.com,93438,https://hrpwfs.catsone.com/careers/93438,200,29,https://hrpwfs.catsone.com/careers/93438/register,,,0.22
4211,intermediagroup.catsone.com,3935,https://intermediagroup.catsone.com/careers/3935,200,147,https://intermediagroup.catsone.com/careers/3935/register,,,0.36
4763,jpc.catsone.com,6988,https://jpc.catsone.com/careers/6988,200,22,https://jpc.catsone.com/careers/6988/register,,,0.20
4919,lawshenpen.catsone.com,103307,https://lawshenpen.catsone.com/careers/103307,200,89,https://lawshenpen.catsone.com/careers/103307/jobs/16837877-Building-Solutions-Automation-Designer-Remote,,,0.27
5099,mapssg.catsone.com,66977,https://mapssg.catsone.com/careers/66977,200,56,https://mapssg.catsone.com/careers/66977/jobs/16838610-Full-Stack-Software-Engineer-Remote,,,0.20
5144,mavensoft.catsone.com,4988,https://mavensoft.catsone.com/careers/4988,200,13,https://mavensoft.catsone.com/careers/4988/jobs/16839787-Senior-NET-Developer-Azure-Power-Apps,,,0.22
5326,mountainmanagementgroup.catsone.com,7823,https://mountainmanagementgroup.catsone.com/careers/7823,200,40,https://mountainmanagementgroup.catsone.com/careers/7823/jobs/12987298-Project-Manager-Multifamily-Construction-Tampa-FL,,,0.19
5431,naviga.catsone.com,79233,https://naviga.catsone.com/careers/79233,200,32,https://naviga.catsone.com/careers/79233/register,,,0.23
5487,newgentechnologies.catsone.com,52695,https://newgentechnologies.catsone.com/careers/52695,200,95,https://newgentechnologies.catsone.com/careers/52695/jobs/16838587-Core-Network-Engineer,,,0.66
5561,northhilltechnology.catsone.com,80029,https://northhilltechnology.catsone.com/careers/80029,200,48,https://northhilltechnology.catsone.com/careers/80029/register,,,0.23
5583,nowhiringheroes.catsone.com,33403,https://nowhiringheroes.catsone.com/careers/33403,200,8,https://nowhiringheroes.catsone.com/careers/33403/register,,,0.21
5620,nwrp.catsone.com,2072,https://nwrp.catsone.com/careers/2072,200,9,https://nwrp.catsone.com/careers/2072/jobs/16833425-Manager-Quality-Assurance,,,0.24
5721,oran.catsone.com,73942,https://oran.catsone.com/careers/73942,200,3,https://oran.catsone.com/careers/73942/register,,,0.19
5858,pedigostaffing.catsone.com,28826,https://pedigostaffing.catsone.com/careers/28826,200,33,https://pedigostaffing.catsone.com/careers/28826/register,,,0.26
5881,pernixgroup.catsone.com,25319,https://pernixgroup.catsone.com/careers/25319,200,19,https://pernixgroup.catsone.com/careers/25319/jobs/16839751-Office-Administrator,,,0.25
5933,pivotalconsulting.catsone.com,35068,https://pivotalconsulting.catsone.com/careers/35068,200,11,https://pivotalconsulting.catsone.com/careers/35068/register,,,0.23
5942,placingit.catsone.com,43650,https://placingit.catsone.com/careers/43650,200,12,https://placingit.catsone.com/careers/43650/jobs/16835159-Backend-Software-Engineer-Distributed-Systems-1818,,,0.20
5944,planetgreen.catsone.com,5051,https://planetgreen.catsone.com/careers/5051,200,283,https://planetgreen.catsone.com/careers/5051/jobs/16833856-Controller-Manufacturing-San-Francisco,,,0.56
6118,r2logistics.catsone.com,54426,https://r2logistics.catsone.com/careers/54426,200,3,https://r2logistics.catsone.com/careers/54426/jobs/16835401-Supply-Chain-Sales-Representative,,,0.22
6161,realtime.catsone.com,42508,https://realtime.catsone.com/careers/42508,200,20,https://realtime.catsone.com/careers/42508/jobs/16837755-Systems-Engineer-Aircraft-State,,,0.24
6200,reflexiveconcepts.catsone.com,74775,https://reflexiveconcepts.catsone.com/careers/74775,200,110,https://reflexiveconcepts.catsone.com/careers/74775/register,,,0.47
6281,riversiderecruiting.catsone.com,42277,https://riversiderecruiting.catsone.com/careers/42277,200,12,https://riversiderecruiting.catsone.com/careers/42277/jobs/16838784-Curriculum-Approvals-and-Alignment-Contractor,,,0.45
6405,sau.catsone.com,112762,https://sau.catsone.com/careers/112762,200,13,https://sau.catsone.com/careers/112762/register,,,0.40
6420,sbsplanet.catsone.com,69494,https://sbsplanet.catsone.com/careers/69494,200,24,https://sbsplanet.catsone.com/careers/69494/jobs/16836214-AWS-Software-Developer-Cloud-DevOps-w-CI-Poly,,,0.39
6471,securetechnologiesgroup.catsone.com,35892,https://securetechnologiesgroup.catsone.com/careers/35892,200,13,https://securetechnologiesgroup.catsone.com/careers/35892/jobs/16838733-Defensive-Cybersecurity-Analysis-HOT,,,0.39
6509,seressmith.catsone.com,7325,https://seressmith.catsone.com/careers/7325,200,15,https://seressmith.catsone.com/careers/7325/register,,,0.37
6638,smstaffing.catsone.com,97243,https://smstaffing.catsone.com/careers/97243,200,36,https://smstaffing.catsone.com/careers/97243/jobs/16835923-Payroll-Director,,,0.45
6736,staffed4u.catsone.com,103252,https://staffed4u.catsone.com/careers/103252,200,38,https://staffed4u.catsone.com/careers/103252/jobs/16834137-Real-Estate-Development-Associate-dollar55k-dollar85k-base-pay,,,0.37
6807,strativia.catsone.com,9347,https://strativia.catsone.com/careers/9347,200,16,https://strativia.catsone.com/careers/9347/jobs/16837805-Victim-Witness-Assistant,,,0.27
7046,thejosefgroup.catsone.com,127262,https://thejosefgroup.catsone.com/careers/127262,200,96,https://thejosefgroup.catsone.com/careers/127262/jobs/16755062-AI-Engineer,,,0.31
7094,timberlinegrp.catsone.com,7276,https://timberlinegrp.catsone.com/careers/7276,200,204,https://timberlinegrp.catsone.com/careers/7276/jobs/16838606-Software-Engineer-Unifier-and-OPPM,,,0.32
7130,trabustechnologies.catsone.com,38078,https://trabustechnologies.catsone.com/careers/38078,200,3,https://trabustechnologies.catsone.com/careers/38078/jobs/16828628-Full-Stack-Engineer,,,0.27
7212,tygart1.catsone.com,69,https://tygart1.catsone.com/careers/69,200,10,https://tygart1.catsone.com/careers/69/jobs/16833214-Software-Developer,,,0.25
7276,unisityllc.catsone.com,118468,https://unisityllc.catsone.com/careers/118468,200,29,https://unisityllc.catsone.com/careers/118468/jobs/16778504-System-Engineer-L3,,,0.29
7350,usolutionspr.catsone.com,9941,https://usolutionspr.catsone.com/careers/9941,200,16,https://usolutionspr.catsone.com/careers/9941/register,,,0.27
7390,varstaff.catsone.com,72070,https://varstaff.catsone.com/careers/72070,200,60,https://varstaff.catsone.com/careers/72070/jobs/16832288-Accounts-Receivable-Analyst-II,,,0.29
7427,vertucom.catsone.com,65909,https://vertucom.catsone.com/careers/65909,200,231,https://vertucom.catsone.com/careers/65909/register,,,0.28
7477,visualsoftinc.catsone.com,23641,https://visualsoftinc.catsone.com/careers/23641,200,15,https://visualsoftinc.catsone.com/careers/23641/jobs/16837016-SeniorMid-Level-Data-Engineer-Active-TS-is-required-ONSITE-100percent,,,0.20
7506,vwirecruit.catsone.com,10011,https://vwirecruit.catsone.com/careers/10011,200,24,https://vwirecruit.catsone.com/careers/10011/jobs/16837650-Housekeeper-Birmingham-AL,,,0.22
7532,wau.catsone.com,9207,https://wau.catsone.com/careers/9207,200,38,https://wau.catsone.com/careers/9207/jobs/16830645-Adjunct-Faculty-Business,,,0.21
7540,waypointhumancapital.catsone.com,95573,https://waypointhumancapital.catsone.com/careers/95573,200,30,https://waypointhumancapital.catsone.com/careers/95573/jobs/16747303-Aerospace-Engineer,,,0.21
7561,websterandwebster.catsone.com,26517,https://websterandwebster.catsone.com/careers/26517,200,66,https://websterandwebster.catsone.com/careers/26517/register,,,0.31
7567,weilgroup.catsone.com,77237,https://weilgroup.catsone.com/careers/77237,200,40,https://weilgroup.catsone.com/careers/77237/jobs/16839716-Quality-Manager-Quality-Assurance-Scientist,,,0.22
7612,whiteskyllc.catsone.com,100427,https://whiteskyllc.catsone.com/careers/100427,200,7,https://whiteskyllc.catsone.com/careers/100427/jobs/16835602-Software-Integrations-Engineer-23,,,0.19
8175,xlysi.catsone.com,2106,https://xlysi.catsone.com/careers/2106,200,12,https://xlysi.catsone.com/careers/2106/jobs/16838794-Healthcare-AI-Solution-Engineer-Mid-FDE-or-REMOTE-ROLE-or-W2-Only,,,0.20
