source_row,domain,portal_id,careers_url,status_code,job_links_found,sample_job_url,sample_title,error,elapsed_seconds
21,2hb.catsone.com,64727,https://2hb.catsone.com/careers/64727,200,45,https://2hb.catsone.com/careers/64727/jobs/16784728-Network-Engineer,,,0.49
22,33704placement.catsone.com,56791,https://33704placement.catsone.com/careers/56791,200,179,https://33704placement.catsone.com/careers/56791/jobs/16835914-Computer-System-Engineer-Architect-TSSCI,,,0.59
28,3kc.catsone.com,2010,https://3kc.catsone.com/careers/2010,200,117,https://3kc.catsone.com/careers/2010/register,,,0.70
69,ablscorp.catsone.com,9277,https://ablscorp.catsone.com/careers/9277,200,17,https://ablscorp.catsone.com/careers/9277/jobs/16839740-Project-Manager-Senior,,,0.47
135,adrenaline.catsone.com,79678,https://adrenaline.catsone.com/careers/79678,200,5,https://adrenaline.catsone.com/careers/79678/jobs/16837779-Program-Director,,,0.59
191,akina.catsone.com,99975,https://akina.catsone.com/careers/99975,200,116,https://akina.catsone.com/careers/99975/register,,,0.56
424,arielpartners.catsone.com,12667,https://arielpartners.catsone.com/careers/12667,200,31,https://arielpartners.catsone.com/careers/12667/jobs/16836015-Federal-Contracts-and-Compliance-Specialist-working-on-request,,,0.49
443,arservices.catsone.com,113723,https://arservices.catsone.com/careers/113723,200,5,https://arservices.catsone.com/careers/113723/jobs/16826244-Acquisition-Analyst,,,0.57
497,athenatechgrp.catsone.com,102293,https://athenatechgrp.catsone.com/careers/102293,200,30,https://athenatechgrp.catsone.com/careers/102293/jobs/16836955-Systems-Security-Engineer,,,0.27
515,atp.catsone.com,4021,https://atp.catsone.com/careers/4021,200,183,https://atp.catsone.com/careers/4021/jobs/16833700-Web-Developer-1,,,0.52
550,aversan.catsone.com,53979,https://aversan.catsone.com/careers/53979,200,36,https://aversan.catsone.com/careers/53979/jobs/16838366-CA-Technician-ISC-Level-1,,,0.33
562,avtc.catsone.com,102881,https://avtc.catsone.com/careers/102881,200,130,https://avtc.catsone.com/careers/102881/jobs/16838500-Systems-Engineer-Tier-III-Operations,,,0.24
662,beaconengineers.catsone.com,21995,https://beaconengineers.catsone.com/careers/21995,200,41,https://beaconengineers.catsone.com/careers/21995/jobs/16839643-Instructional-Designer,,,0.22
671,begroup.catsone.com,39721,https://begroup.catsone.com/careers/39721,200,6,https://begroup.catsone.com/careers/39721/jobs/16837511-Social-Media-Manager,,,0.21
696,bentonpartners.catsone.com,113352,https://bentonpartners.catsone.com/careers/113352,200,54,https://bentonpartners.catsone.com/careers/113352/jobs/16839470-Head-of-Data-Science,,,0.21
757,blackbeartech.catsone.com,68975,https://blackbeartech.catsone.com/careers/68975,200,6,https://blackbeartech.catsone.com/careers/68975/jobs/16670350-Service-Desk-Technician-Intermediate,,,0.19
828,brainsworkgroup.catsone.com,9549,https://brainsworkgroup.catsone.com/careers/9549,200,35,https://brainsworkgroup.catsone.com/careers/9549/jobs/16839720-Senior-Front-Office-Developer-Stock-Loan,,,0.22
2159,cbsinfosys.catsone.com,4147,https://cbsinfosys.catsone.com/careers/4147,200,995,https://cbsinfosys.catsone.com/careers/4147/register,,,0.61
2290,cisintl.catsone.com,79068,https://cisintl.catsone.com/careers/79068,200,25,https://cisintl.catsone.com/careers/79068/jobs/16806854-Sr-EHS-Specialist,,,0.23
2349,cloudt.catsone.com,910,https://cloudt.catsone.com/careers/910,200,25,https://cloudt.catsone.com/careers/910/register,,,0.20
2392,collectivegroup.catsone.com,39596,https://collectivegroup.catsone.com/careers/39596,200,3,https://collectivegroup.catsone.com/careers/39596/jobs/16839759-Pharmacist,,,0.20
2510,cosourcingpartners.catsone.com,8557,https://cosourcingpartners.catsone.com/careers/8557,200,41,https://cosourcingpartners.catsone.com/careers/8557/jobs/16838118-Claims-Production-Professional-II,,,0.26
2566,cruitek.catsone.com,78230,https://cruitek.catsone.com/careers/78230,200,13,https://cruitek.catsone.com/careers/78230/register,,,0.21
2672,davincisoftware.catsone.com,54666,https://davincisoftware.catsone.com/careers/54666,200,6,https://davincisoftware.catsone.com/careers/54666/jobs/16838641-Azure-Database-Engineer-Hybrid-St-Paul-MN,,,0.26
3068,emtakllc.catsone.com,83240,https://emtakllc.catsone.com/careers/83240,200,48,https://emtakllc.catsone.com/careers/83240/jobs/16837858-SYSTEM-ENGINEER-L5-TSSCI-with-Poly-required,,,0.23
3403,fgsllc.catsone.com,85960,https://fgsllc.catsone.com/careers/85960,200,34,https://fgsllc.catsone.com/careers/85960/jobs/16835421-Telecommunications-Mechanic-II,,,0.30
3540,fusionhcr.catsone.com,43293,https://fusionhcr.catsone.com/careers/43293,200,168,https://fusionhcr.catsone.com/careers/43293/jobs/16838911-CNC-Machinist,,,0.30
3601,geniusroad.catsone.com,41437,https://geniusroad.catsone.com/careers/41437,200,70,https://geniusroad.catsone.com/careers/41437/register,,,0.40
3737,grossberg.catsone.com,122,https://grossberg.catsone.com/careers/122,200,6,https://grossberg.catsone.com/careers/122/jobs/16839669-HYBRID-Senior-Tax-Accountant,,,0.26
3941,hit.catsone.com,1580,https://hit.catsone.com/careers/1580,200,36,https://hit.catsone.com/careers/1580/jobs/16836036-Hogan-Mainframe-SME-Engineer,,,0.24
